Location,BHK,Furnishing,Sq.ft,Old(years),Floor,Price
Bommanahalli,3,1,1650,10,0,18000
Bommanahalli,3,0,1744,1,2,22000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,3,1,3000,1,3,28000
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,3,1,1471,10,3,21000
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,3,1,1250,1,1,20000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,3,1,1250,1,1,20000
Bommanahalli,3,1,1250,1,1,20000
Bommanahalli,3,1,1650,10,0,18000
Bommanahalli,2,1,1200,5,4,19000
Bommanahalli,3,0,1744,1,2,22000
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,1251,5,3,19500
Bommanahalli,2,1,1200,5,4,19000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,0,1400,5,2,22000
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,3,1,3000,1,3,28000
Bommanahalli,3,0,1250,1,1,20000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,0,1251,5,3,19500
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,3,1,1250,1,1,20000
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,3,1,1650,10,0,18000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,3,0,1744,1,2,22000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,2,1,767,1,3,16000
Bommanahalli,2,0,1050,10,2,18000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,2,0,1251,5,3,19500
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,3,1,3000,1,3,28000
Bommanahalli,3,1,1250,1,1,20000
Bommanahalli,2,1,767,1,3,16000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,3,1,1250,1,1,20000
Bommanahalli,3,1,1650,10,0,18000
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,3,1,3000,1,3,28000
Bommanahalli,2,0,1400,5,2,22000
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,3,1,1250,1,1,20000
Bommanahalli,3,1,1250,1,1,20000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,1400,5,2,22000
Bommanahalli,3,0,1744,1,2,22000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,3,0,1744,1,2,22000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,3,1,1471,10,3,21000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,3,1,1471,10,3,21000
Bommanahalli,2,1,767,1,3,16000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,3,0,1375,5,3,19000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,3,0,1744,1,2,22000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,2,0,1050,10,2,18000
Bommanahalli,3,1,1250,1,1,20000
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,2,0,1050,10,2,18000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,2,1,1200,5,4,19000
Bommanahalli,3,1,1650,10,0,18000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,0,1251,5,3,19500
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,3,1,3000,1,3,28000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,3,0,1250,1,1,20000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,3,1,1250,1,1,20000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,2,0,1251,5,3,19500
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,3,0,1250,1,1,20000
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,3,0,1250,1,1,20000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,0,1050,10,2,18000
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,3,1,1471,10,3,21000
Bommanahalli,2,0,1050,10,2,18000
Bommanahalli,3,1,3000,1,3,28000
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,2,1,1200,5,4,19000
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,3,1,1650,10,0,18000
Bommanahalli,3,0,1250,1,1,20000
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,0,1251,5,3,19500
Bommanahalli,2,1,767,1,3,16000
Bommanahalli,3,1,1650,10,0,18000
Bommanahalli,2,1,1200,5,4,19000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,3,1,1650,10,0,18000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,1,1200,5,4,19000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,2,0,1251,5,3,19500
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,3,0,1250,1,1,20000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,3,0,1375,5,3,19000
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,3,0,1744,1,2,22000
Bommanahalli,3,1,1471,10,3,21000
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,3,1,1471,10,3,21000
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,3,0,1744,1,2,22000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,2,0,1400,5,2,22000
Bommanahalli,2,1,767,1,3,16000
Bommanahalli,3,0,1250,1,1,20000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,0,1400,5,2,22000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,3,1,3000,1,3,28000
Bommanahalli,2,0,1251,5,3,19500
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,2,1,1200,5,4,19000
Bommanahalli,2,0,1400,5,2,22000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,3,1,3000,1,3,28000
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,3,0,1744,1,2,22000
Bommanahalli,2,0,1400,5,2,22000
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,3,1,1250,1,1,20000
Bommanahalli,3,0,1250,1,1,20000
Bommanahalli,2,1,767,1,3,16000
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,3,1,3000,1,3,28000
Bommanahalli,3,0,1250,1,1,20000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,3,1,1471,10,3,21000
Bommanahalli,2,0,1400,5,2,22000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,1400,5,2,22000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,2,1,767,1,3,16000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,3,0,1375,5,3,19000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,3,1,1650,10,0,18000
Bommanahalli,2,0,1050,10,2,18000
Bommanahalli,3,0,1375,5,3,19000
Bommanahalli,3,1,1650,10,0,18000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,0,1050,10,2,18000
Bommanahalli,2,1,767,1,3,16000
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,2,0,1251,5,3,19500
Bommanahalli,2,0,1251,5,3,19500
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,3,0,1250,1,1,20000
Bommanahalli,3,0,1250,1,1,20000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,3,0,1250,1,1,20000
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,2,0,1400,5,2,22000
Bommanahalli,3,1,3000,1,3,28000
Bommanahalli,2,0,1089,5,2,15500
Bommanahalli,2,1,767,1,3,16000
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,3,1,1650,10,0,18000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,1,767,1,3,16000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,3,1,3000,1,3,28000
Bommanahalli,3,1,3000,1,3,28000
Bommanahalli,3,1,1471,10,3,21000
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,2,1,1300,5,3,20000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,3,1,1471,10,3,21000
Bommanahalli,3,1,1381,1,4,22000
Bommanahalli,3,1,1471,10,3,21000
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,2,0,1135,10,2,16000
Bommanahalli,3,1,1471,10,3,21000
Bommanahalli,3,0,1500,10,1,22000
Bommanahalli,2,1,1200,5,4,19000
Bommanahalli,2,0,960,10,3,11000
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,2,0,960,10,3,11000
